,Name,Description,geometry
37,kml_38,Attributes LIC_NAME HAO MART PTE. LTD.  BLK_HOUSE 658  STR_NAME PUNGGOL EAST  UNIT_NO 1  POSTCODE 820658  LIC_NO NE18667L000  INC_CRC EE65F5A79DDD5BAE  FMEL_UPD_D 20181003180619 ,POINT Z (103.919352755684 1.39990420413757 0)
38,kml_39,Attributes LIC_NAME THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.  BLK_HOUSE 681  STR_NAME PUNGGOL DRIVE  UNIT_NO 9  POSTCODE 820681  LIC_NO NE18529J000  INC_CRC CFB223AB2921E70E  FMEL_UPD_D 20181003180619 ,POINT Z (103.913195747038 1.40287845138627 0)
39,kml_40,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 525  STR_NAME ANG MO KIO AVENUE 10  UNIT_NO 2401  POSTCODE 560525  LIC_NO S02169J000  INC_CRC 8C89C07BAD44F7D8  FMEL_UPD_D 20180711174048 ,POINT Z (103.853890711284 1.37264569542777 0)
40,kml_41,Attributes LIC_NAME PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.  BLK_HOUSE 100  STR_NAME TRAS STREET  UNIT_NO 1/5  POSTCODE 79027  LIC_NO CE18A78X000  INC_CRC A560CDE4DE209D00  FMEL_UPD_D 20180711174048 ,POINT Z (103.843470740865 1.27458822422728 0)
41,kml_42,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 291  STR_NAME JOO CHIAT ROAD  UNIT_NO 1  POSTCODE 427543  LIC_NO SE11505P000  INC_CRC 2340EFD9FB6110BC  FMEL_UPD_D 20180711174048 ,POINT Z (103.902232496984 1.30982227398559 0)
42,kml_43,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 660A  STR_NAME EDGEDALE PLAINS  UNIT_NO 1  POSTCODE 821660  LIC_NO NE17700J000  INC_CRC 1AB52643F941FA3A  FMEL_UPD_D 20180711174048 ,POINT Z (103.916519601442 1.40262196510476 0)
43,kml_44,Attributes LIC_NAME VIVA CORP SERVICES PTE. LTD.  BLK_HOUSE 23  STR_NAME KAKI BUKIT ROAD 3  UNIT_NO 2  POSTCODE 415812  LIC_NO NE14190K000  INC_CRC F9CBEC22DB1FB858  FMEL_UPD_D 20180711174048 ,POINT Z (103.903735085122 1.33733862368542 0)
44,kml_45,Attributes LIC_NAME SWISS BUTCHERY (2013) PRIVATE LIMITED  BLK_HOUSE 30  STR_NAME GREENWOOD AVENUE  UNIT_NO   POSTCODE 289230  LIC_NO CE07705A000  INC_CRC C869661C01CC7122  FMEL_UPD_D 20171129183654 ,POINT Z (103.806586886276 1.33176109907579 0)
45,kml_46,Attributes LIC_NAME ROSWELL ENTERPRISE PTE LTD  BLK_HOUSE 34  STR_NAME GREENWOOD AVENUE  UNIT_NO   POSTCODE 289236  LIC_NO B03078N000  INC_CRC 1AC0DC1360B91602  FMEL_UPD_D 20171129183654 ,POINT Z (103.806492419384 1.33183240808538 0)
46,kml_47,Attributes LIC_NAME T S J INDUSTRIAL (S) PTE. LTD.  BLK_HOUSE 48  STR_NAME TOH GUAN ROAD EAST  UNIT_NO 130  POSTCODE 608586  LIC_NO SW14484J000  INC_CRC 3A9EFB753F3C9DE9  FMEL_UPD_D 20171129183653 ,POINT Z (103.75434143082 1.33683097371867 0)
47,kml_48,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 80  STR_NAME MARINE PARADE ROAD  UNIT_NO 27/62  POSTCODE 449269  LIC_NO E02196C000  INC_CRC 8F1010F83432B78B  FMEL_UPD_D 20171129183654 ,POINT Z (103.905113590458 1.30119131472187 0)
48,kml_49,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 12  STR_NAME KALLANG AVENUE  UNIT_NO 47  POSTCODE 339511  LIC_NO CE14G73B000  INC_CRC D7FC2498E326BABA  FMEL_UPD_D 20171129183653 ,POINT Z (103.864101650514 1.30974242012866 0)
49,kml_50,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 11  STR_NAME TANJONG KATONG ROAD  UNIT_NO 36  POSTCODE 437157  LIC_NO SE14875L000  INC_CRC 5373FE2CE9E8656B  FMEL_UPD_D 20171129183653 ,POINT Z (103.894480527876 1.31469214115978 0)
50,kml_51,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 154  STR_NAME WEST COAST ROAD  UNIT_NO   POSTCODE 127371  LIC_NO SW08807K000  INC_CRC 50EDCA33BB1577BC  FMEL_UPD_D 20171129183654 ,POINT Z (103.76528451751 1.30358269052594 0)
